date,year,sport,event
Jun-12,2023,Basketball,"Denver Nuggets defeat the Miami Heat 94-89 in Game 5 to win the NBA Championship, the first in franchise history; Nikola Jokić wins the Finals MVP, the first player born in Serbia to receive the award"
Jun-13,1989,Basketball,Detroit Pistons sweep the Los Angeles Lakers 4-0 to win the NBA Championship; Joe Dumars wins the Finals MVP as the 'Bad Boys' Pistons claim their first title
Jun-13,1997,Basketball,"Chicago Bulls defeat the Utah Jazz 90-86 in Game 6 to win the NBA Championship; Michael Jordan wins his fifth Finals MVP, famous for his iconic 38-point 'Flu Game' performance in Game 5"
Jun-13,2015,Ice Hockey,"Stanley Cup Final, LA Kings beat New York Rangers, 4-1"
Jun-13,2019,Basketball,"Toronto Raptors defeat the Golden State Warriors 114-110 in Game 6 to win the NBA Championship, the first title for a non-American franchise; Kawhi Leonard wins his second Finals MVP"
Jun-13,2023,Ice Hockey,"Stanley Cup Final, Vegas Golden Knights beat Florida Panthers 4-1 series win;"
Jun-14,1987,Basketball,Los Angeles Lakers defeat the Boston Celtics 106-93 in Game 6 to win the NBA Championship; Magic Johnson wins the Finals MVP in what proves to be the last classic Lakers-Celtics Finals
Jun-14,1990,Basketball,Detroit Pistons defeat the Portland Trail Blazers 92-90 in Game 5 to win back-to-back NBA Championships; Isiah Thomas wins the Finals MVP
Jun-14,1992,Basketball,Chicago Bulls defeat the Portland Trail Blazers 97-93 in Game 6 to win back-to-back NBA Championships; Michael Jordan wins his second consecutive Finals MVP
Jun-14,1994,Ice Hockey,"Stanley Cup Final, New York Rangers beat Vancouver Canucks, 4-3"
Jun-14,1995,Basketball,"Houston Rockets sweep the Orlando Magic 4-0 to win back-to-back NBA Championships; Hakeem Olajuwon wins his second consecutive Finals MVP, cementing his status as one of the all-time greats"
Jun-14,1998,Basketball,"Chicago Bulls defeat the Utah Jazz 87-86 in Game 6 on Michael Jordan's last-second jumper to win the NBA Championship; Jordan wins his sixth and final Finals MVP, completing his second three-peat"
Jun-14,2007,Basketball,"San Antonio Spurs sweep the Cleveland Cavaliers 4-0 to win the NBA Championship; Tony Parker wins the Finals MVP, the first European-born player to receive the award"
Jun-14,2009,Basketball,Los Angeles Lakers defeat the Orlando Magic 99-86 in Game 5 to win the NBA Championship; Kobe Bryant wins the Finals MVP in his first title without Shaquille O'Neal
Jun-15,2001,Basketball,Los Angeles Lakers defeat the Philadelphia 76ers in five games to win back-to-back NBA Championships; Shaquille O'Neal wins his second consecutive Finals MVP
Jun-15,2003,Basketball,San Antonio Spurs defeat the New Jersey Nets 88-77 in Game 6 to win the NBA Championship; Tim Duncan wins his second Finals MVP
Jun-15,2004,Basketball,Detroit Pistons upset the Los Angeles Lakers 100-87 in Game 5 to win the NBA Championship; Chauncey Billups wins the Finals MVP in one of the great team upsets in NBA history
Jun-15,2011,Ice Hockey,"Stanley Cup Final, Boston Bruins defeat Vancouver Canucks, 4-3"
Jun-15,2014,Basketball,"San Antonio Spurs defeat the Miami Heat 104-87 in Game 5 to win the NBA Championship; Kawhi Leonard wins the Finals MVP in a dominant team performance, ending Miami's two-year reign"
Jun-15,2016,Ice Hockey,"Stanley Cup Final, Chicago Blackhawks defeat Tampa Bay Lightning, 4-2 series victory"
Jun-15,2018,Soccer,World Cup: Portugal 3. Spain 3 - Cristiano Renaldo scores hat-trick - 4th player to score in 4 different World Cups
Jun-16,1996,Basketball,"Chicago Bulls defeat the Seattle SuperSonics 87-75 in Game 6 to win the NBA Championship, having posted a then-record 72 regular season wins; Michael Jordan wins his fourth Finals MVP"
Jun-16,1998,Ice Hockey,"Stanley Cup Final,Detroit Red Wings go back-to-back, defeating debutant finalists Washington Capitals"
Jun-16,2008,Golf,"Tiger Woods wins the US Open at Torrey Pines in a dramatic 19-hole playoff despite playing the entire tournament on a broken leg and torn ACL, in what many consider the greatest major championship performance ever"
Jun-16,2015,Basketball,"Golden State Warriors defeat the Cleveland Cavaliers 105-97 in Game 6 to win the NBA Championship, their first title in 40 years; Andre Iguodala wins the Finals MVP, the first player in Finals history to win without starting all season"
Jun-16,2018,Soccer,"World Cup: Video Assistant Referee (VAR) technology is used for the first time, awarding France a penalty in 2-1 win over Australia in Kazan"
Jun-16,2022,Basketball,"Golden State Warriors defeat the Boston Celtics 103-90 in Game 6 to win the NBA Championship; Stephen Curry wins his first Finals MVP, having been the only member of the Warriors dynasty not to previously win the award"
Jun-17,1962,Soccer,"FIFA World Cup Final, Brazil beat Czechoslovakia, 3-1"
Jun-17,1980,NFL,"Birthday of Peyton Manning, who won two Super Bowls with the Indianapolis Colts and Denver Broncos, set a then-record 55 touchdown passes in 2013, and is considered one of the greatest quarterbacks ever"
Jun-17,2008,Basketball,"Boston Celtics defeat the Los Angeles Lakers 131-92 in Game 6 to win the NBA Championship, their first title in 22 years; Paul Pierce wins the Finals MVP"
Jun-17,2010,Basketball,Los Angeles Lakers defeat the Boston Celtics 83-79 in Game 7 to win back-to-back NBA Championships; Kobe Bryant wins his second consecutive Finals MVP
Jun-17,2024,Basketball,"Boston Celtics defeat the Dallas Mavericks 106-88 in Game 5 to win the NBA Championship, their 18th title and first in 16 years; Jaylen Brown wins the Finals MVP"
Jun-17,2025,Ice Hockey,"Stanley Cup Final, Florida Panthers win their second consecutive title, once again defeating the Edmonton Oilers, 5-1"
Jun-19,1867,Horse Racing,"1st ever running of the Belmont Stakes, Ruthless wins with Gilbert Patrick aboard"
Jun-19,1938,Soccer,"FIFA World Cup Final: Italy beats Hungary, 4-1"
Jun-19,1983,Soccer,"Birthday of Manchester United legend Dimitar Berbatov, known for his exquisite technique and touch, who won the Premier League Golden Boot in 2011 with 20 goals"
Jun-19,2000,Basketball,Los Angeles Lakers defeat the Indiana Pacers 116-111 in Game 6 to win the NBA Championship; Shaquille O'Neal wins the first of three consecutive Finals MVP awards in a dominant series
Jun-19,2006,Ice Hockey,"Stanley Cup Final, Carolina Hurricanes beat Edmonton Oilers, 3-1 for a 4-3 series victory"
Jun-19,2016,Basketball,"Cleveland Cavaliers defeat the Golden State Warriors 93-89 in Game 7 to win the NBA Championship; LeBron James wins the Finals MVP, delivering on his promise to bring a title to Cleveland with a famous chase-down block in the final minutes"
Jun-20,1989,Rugby,Rugby Union World Cup: New Zealand All Blacks beat France 29-9
Jun-20,1993,Basketball,Chicago Bulls defeat the Phoenix Suns 99-98 in Game 6 to win a third consecutive NBA Championship; Michael Jordan wins his third consecutive Finals MVP before retiring for the first time
Jun-20,2006,Basketball,"Miami Heat defeat the Dallas Mavericks 95-92 in Game 6 to win the NBA Championship after trailing 2-0; Dwyane Wade wins the Finals MVP, scoring 34 points in the clinching game"
Jun-20,2013,Basketball,Miami Heat defeat the San Antonio Spurs 95-88 in Game 7 to win back-to-back NBA Championships; LeBron James wins his second consecutive Finals MVP in a series remembered for Ray Allen's iconic corner three in Game 6
Jun-21,1961,Baseball,"Roger Maris hits his 27th home run, surpassing Babe Ruth's pace for the 60-home run season record, as the New York Yankees slugger chases one of baseball's most sacred records"
Jun-21,1988,Basketball,Los Angeles Lakers defeat the Detroit Pistons 108-105 in Game 7 to win back-to-back NBA Championships; James Worthy wins the Finals MVP with a triple-double in the deciding game
Jun-21,2012,Basketball,Miami Heat defeat the Oklahoma City Thunder 121-106 in Game 5 to win the NBA Championship; LeBron James wins his first Finals MVP and first championship after years of pressure
Jun-22,1986,Soccer,"Argentina's Diego Maradona scores the ""hand of god"" goal,  as he scores a double against England in the FIFA World Cup quarter finals"
Jun-22,1994,Basketball,Houston Rockets defeat the New York Knicks 90-84 in Game 7 to win the NBA Championship; Hakeem Olajuwon wins the Finals MVP in the first Finals without Michael Jordan since 1984
Jun-22,1996,Cricket,Saurav Ganguly scores 131 at Lord's in his Test cricket debut
Jun-23,1894,Olympics,"The International Olympic Committee is founded in Paris by Baron Pierre de Coubertin, beginning the modern Olympic movement that leads to the first Summer Games being held in Athens in 1896"
Jun-23,2005,Basketball,San Antonio Spurs defeat the Detroit Pistons 81-74 in Game 7 to win the NBA Championship; Tim Duncan wins his third Finals MVP in a hard-fought series
Jun-24,1969,Cricket,"Birthday of Australian wicketkeeper-batsman Ian Healy, who took a then-record 395 Test dismissals behind the stumps"
Jun-24,1980,Horse Racing,"Affirmed wins $500,000 Hollywood Cup, becomes the 1st horse to win $2 million"
Jun-24,1995,Ice Hockey,"Stanley Cup Final, New Jersey Devils beat Detroit Red Wings, 5-2 for a 4-0 series sweep"
Jun-24,2013,Ice Hockey,"Stanley Cup Final, Chicago Blackhawks defeat Boston Bruins, 3-2 for 4-2 series victory"
Jun-24,2024,Ice Hockey,"Stanley Cup Final, Florida Panthers win their first title defeating the Edmonton Oilers 2-1 in Game 7"
Jun-25,1957,Rugby,Rugby Union World Cup: New Zealand beats Great Britain 29-21
Jun-25,1977,Rugby,Rugby Union World Cup: Australia beats Great Britain 13-12
Jun-25,1978,Soccer,"FIFA World Cup Final: Argentina beats the Netherlands, 3-1 after extra time"
Jun-25,1994,Soccer,"1,500th goal in FIFA World Cup history scored by Caceres of Argentina"
Jun-25,1999,Basketball,San Antonio Spurs defeat the New York Knicks 78-77 in Game 5 to win the NBA Championship; Tim Duncan wins the first of his three Finals MVP awards in a lockout-shortened season
Jun-26,1937,Cricket,Len Hutton debuts v New Zealand in 1st Tests at Lord's; scores 0 & 1
Jun-26,1972,Cricket,Australian bowler Bob Massie takes 16 wickets (8-84 & 8-53) on Test cricket debut in 2nd Test vs England at Lord's
Jun-26,2022,Ice Hockey,"Stanley Cup Final, Colorado Avalanche beats two-time defending champions Tampa Bay Lightning, 2-1 for a 4-2 series win"
Jun-27,1930,Cricket,"Don Bradman scores first Test double century, making 254 against England at Lords"
Jun-29,1920,Soccer,Real Madrid receives royal status from King Alfonso XIII
Jun-29,1962,Baseball,"Frank Howard hits the 5,000th Dodger home run"
Jun-29,1986,Soccer,"FIFA World Cup Final, Argentina beats West Germany, 3-2"
Jul-01,1904,Olympics,"III Summer Olympics opened in St Louis, United States"
Jul-01,1963,Basketball,"Birthday of Charles Barkley, the Philadelphia 76ers and Phoenix Suns power forward who won the 1993 NBA MVP award and is considered one of the greatest rebounders in NBA history"
Jul-01,1998,Basketball,NBA commences a player lockout after no agreement with players about salary issues - lasts 204 days with the season shortened by 50 games
Jul-03,2018,Cricket,"Aaron Finch breaks his own T20 International record smashing 172 from 76 balls vs Zimbabwe in Harare, opening stand with D'Arcy Short (223) also a record"
Jul-04,1954,Soccer,"FIFA World Cup Final, West Germany beats Hungary, 3-2"
Jul-05,1924,Olympics,"VIII Summer Olympic Games open in Paris France, Paris becomes the first city to hold the Olympics twice"
Jul-06,1912,Olympics,"V Summer Olympic Games officially open Stockholm, Sweden"
Jul-06,1933,Baseball,The first Major League Baseball All-Star Game is played at Comiskey Park in Chicago; Babe Ruth hits a home run as the American League defeats the National League 4-2
Jul-06,1970,AFL,"Birthday of AFL great Matthew Lloyd, who kicked 926 goals for Essendon and won three consecutive Coleman Medals from 1999 to 2001"
Jul-06,2003,Tennis,Martina Navratilova claims her 20th all-time Wimbledon title
Jul-07,2021,Ice Hockey,"Stanley Cup: Tampa Bay Lightning beat Montreal Canadiens, 1-0 in Game 5; to retain title"
Jul-08,1990,Soccer,"FIFA World Cup Final, West Germany beat Argentina 1-0"
Jul-09,1932,Football,Washington Redskins (then Boston Braves) formed
Jul-09,1991,Olympics,South Africa re-admitted to Olympics
Jul-09,1994,Baseball,"Matt Nokes scores 11,000th home run in New York Yankees history"
Jul-09,2006,Soccer,"FIFA World Cup, Italy beats France, 5-3 on penalties; 1-1 after extra time"
Jul-10,1884,Cricket,"First day of Test Cricket at Old Trafford, Manchester (1st Test, England v Australia) is washed out"
Jul-10,1997,Baseball,"1997 Hideki Irabu makes MLB debut as a NY Yankee, beats Tigers 10-3"
Jul-11,1930,Cricket,"Don Bradman scores first Test triple century, making 334 against England at Headingley, the most runs by an Australian and stands until 1998 when Mark Taylor scores 334"
Jul-11,1982,Soccer,Italy beats West Germany 3-1 iIn the FIFA World Cup final
Jul-11,2010,Football,"Spain with their first ever  FIFA World Cup Final, beating the Netherlands, 1-0"
Jul-13,1930,Soccer,First ever football World Cup competition begins in Uruguay
Jul-13,1930,Soccer,France's Lucien Laurent scores the first goal in the FIFA World Cup
Jul-14,1951,Horse Racing,"In his last race start, Citation wins the Hollywood Gold Cup by four lengths to become American racing's first millionaire horse"
Jul-15,1938,Cricket,Arthur Fagg becomes the first batsman in first-class cricket history to score double centuries in both innings of a match
Jul-15,2002,AFL,"Tony Lockett retires from AFL football, kicking the most goals in VFL/AFL history (1360)"
Jul-16,1920,Tennis,"USA wins the Davis Cup, beating Australasia in Auckland (5-0)"
Jul-16,1950,Soccer,"Uruguay defeats Brazil 2-1 at the  EstÃ¡dio do MaracanÃ£, Rio de Janeiro, Brazil ton win the FIFA World Cup"
Jul-17,1976,Olympics,"XXI Olympic games open in Montreal, Canada"
Jul-17,1994,Soccer,Brazil beats Italy 3-2 on penalties to win the World Cup
Jul-17,2018,Basketball,Australian basketball center Liz Cambage scores 53 points as the Dallas Wings beat the NY Liberty 104-87 to set new WNBA single game scoring record
Jul-18,1959,Golf,William 'Bill' Wright becomes the 1st African American to win a major golf tournament (U.S. Amateur Public Links Championships)
Jul-18,1988,Ice Hockey,"Edmonton Oilers trade Wayne Gretzky to the Los Angeles Kings in what becomes known as 'The Trade', one of the most shocking and consequential deals in NHL history"
Jul-18,1994,Football,NY Jets sign USA soccer goalkeeper Tony Miola as a place kicker
Jul-19,1903,Cycling,1903 1st Tour de France: French rider Maurice Garin wins inaugural event
Jul-19,1952,Olympics,"XV Summer Olympic Games open at the Helsingin Olympiastadion, Helsinki, Finland"
Jul-19,1980,Olympics,"XXII Summer Olympic Games open in Moscow, Russia;  66 nations boycott event because of Soviet-Afghan war"
Jul-19,1996,Olympics,"XXVI Summer Olympic Games open in Atlanta, Georgia"
Jul-19,1996,Olympics,Muhammad Ali lights the flame at the Atlanta Olympics opening ceremony
Jul-20,1952,Olympics,Emile Zatopek runs Olympic Record 10K (29:17.0)
Jul-20,2021,Basketball,"Milwaukee Bucks defeat the Phoenix Suns 105-98 in Game 6 to win the NBA Championship, their first title in 50 years; Giannis Antetokounmpo wins the Finals MVP, scoring 50 points in the clinching game"
Jul-21,1884,Cricket,"1884 First Test cricket match is played at Lord's, England defeating Australia"
Jul-21,1970,Soccer,"Brazil wins FIFA World Cup, beating Italy 4-1, Pele becomes the only player to win 3 World Cups"
Jul-22,1912,Olympics,"V Summer Olympic Games close at Stockholm Olympiastadion, Sweden"
Jul-22,2012,Cricket,Hashim Amla smashes 311 not out in South Africa's Test win over England at The Oval; first South African to score a triple-century in Test cricket
Jul-22,2016,AFL,Brent Harvey equals Michael Tuck's VFL/AFL games record (426)
Jul-23,1904,Olympics,"III Summer Olympics closes in St Louis, United States"
Jul-23,2021,Olympics,"XXXII Summer Olympic Games officially open at the Olympic Stadium, Tokyo, Japan"
Jul-24,1952,Olympics,"Emile Zatopek runs Olympic record in the 5,000 meters (14:06.6)"
Jul-24,1980,Soccer,"Birthday of French football icon Thierry Henry, Arsenal's all-time leading scorer with 228 goals, who won the World Cup in 1998 and European Championship in 2000"
Jul-25,1914,AFL,Geelong's Bill Eason becomes the first VFL player to play 200 games
Jul-25,1972,Cricket,"Birthday of South African captain Hansie Cronje, a gifted batsman and tactician whose career was tragically cut short by a match-fixing scandal"
Jul-25,1992,Olympics,"XXV Summer Olympic Games open in Barcelona, Spain"
Jul-25,2012,Olympics,"USA's men's basketball team sees its 25-game Olympic winning streak end, defeated 83-76 by France in a first-round match in Tokyo"
Jul-26,1957,Baseball,Mickey Mantle hits career home run number 200
Jul-26,2019,Cricket,Australian cricket captain Meg Lanning records a T20 International world record individual score of 133 off 63 balls
Jul-26,2024,Olympics,"XXXIII Summer Olympic Games officially open along the River Seine and at Jardins du Trocadro, in front of the Eiffel Tower, Paris"
Jul-27,1924,Olympics,"VIII Summer Olympic Games close at the Stade Olympique Yves-du-Manoir in Paris, France"
Jul-27,1937,Tennis,"USA wins the Davis Cup, beating Great Britain in Wimbledon (4-1)"
Jul-27,1956,Cricket,Jim Laker takes 9-37 in Australia's first innings in the fourth Test at Manchester; best return ever in Test cricket; bettered in the 2nd innings with 10-53
Jul-27,2012,Olympics,"XXX Summer Olympic Games open London, England, London becomes the first city to host the 3 Olympics three times"
Jul-28,1928,Olympics,"IX Summer Olympic Games open in Amsterdam, Netherlands"
Jul-28,1979,AFL,Fitzroy beat Melbourne by a VFL record margin of 190 points
Jul-28,1984,Olympics,XXIII modern Olympic Games open in Los Angeles
Jul-29,1928,Tennis,"France wins the Davis Cup, beating USA in Paris (4-1)"
Jul-29,1948,Olympics,"XIV Olympic Games open in London, England"
Jul-29,1950,Soccer,"Brazil win their first FIFA World Cup, beating Sweden 5-2, at the age of 17 years and 249 days old, Pele becomes the youngest winner ever"
Jul-30,1930,Soccer,"First FIFA World Cup Final, Estadio Centenario, Montevideo, Uruguay: Uruguay beats Argentina 4-2"
Jul-30,1932,Olympics,"X Summer Olympic Games open in Los Angeles, California"
Jul-30,1966,Soccer,"FIFA World Cup Final, Wembley Stadium, London: Striker Geoff Hurst scores a hat trick as England beats West Germany 4-2 after extra time"
Jul-31,1937,AFL,Collingwood's Gordon Conventry becomes the first VFL player to play 300 games
Jul-31,1956,Cricket,Jim Laker takes 10-53 in Australia's second innings; match figures 19-90 in the fourth Test at Old Trafford
Aug-01,1936,Olympics,"XI Summer Olympic Games open in Berlin, Germany"
Aug-01,1976,Olympics,"XXI Summer Olympic Games close at the Olympic Stadium in Montreal, Canada"
Aug-02,1902,AFL,Collingwood's Charlie Pannam becomes the first VFL player to reach the 100 game milestone
Aug-03,1952,Olympics,"XV Summer Olympic Games close at the Helsingin Olympiastadion, Helsinki, Finland"
Aug-03,1980,Olympics,"XXII Summer Olympic Games close at the Grand Arena of the Central Lenin Stadium in Moscow, Russia"
Aug-03,2013,NFL,Ray Lewis is inducted into the Pro Football Hall of Fame; the Baltimore Ravens linebacker is widely considered the greatest defensive player in NFL history
Aug-04,1996,Olympics,"XXVI Summer Olympic Games close at Centennial Olympic Stadium in Atlanta, Georgia"
Aug-05,2016,Olympics,"XXXI Summer Olympic Games officially open in Maracana Stadium, Rio de Janeiro, Brazil"
Aug-06,1983,Football,First NFL exhibition game in Europe: Minnesota Vikings beat St. Louis Cardinals 28-10 at London's Wembley Stadium
Aug-06,1983,AFL,"Kevin Bartlett becomes the first playeer tom play 400 VFL/AFL games, finishes his carrer with 403 games"
Aug-06,1995,Baseball,"Cleveland's major league sports franchises, NFL Browns and MLB Indians, play in Cleveland for the first time; both lose"
Aug-06,2006,Baseball,"For an MLB record 11th time in his career, Padres closer Trevor Hoffman records 30 or more saves in a season, surpassing the record set by Lee Smith, baseball's all-time saves leader"
Aug-07,1987,Cricket,"Javed Miandad becomes the first to score 6,000 Test runs for Pakistan"
Aug-07,2021,Olympics,Indian javelin thrower Neeraj Chopra makes history by winning his country's first-ever Olympic track and field gold with a throw of 87.58 m in Tokyo
Aug-08,1981,Tennis,"Birthday of Roger Federer in Basel, Switzerland; he goes on to become a 20-time Grand Slam champion and one of the most beloved athletes in sporting history before retiring in 2022"
Aug-08,1984,Olympics,Nawal El Moutawakel of Morocco becomes the first female Olympic champion from a Muslim nation and the first from her country in the 400 m hurdles
Aug-08,2008,Olympics,"XXIX Summer Olympic Games open in Beijing, China"
Aug-08,2021,Olympics,"XXXII Summer Olympic Games close at the Japan National Stadium, Tokyo"
Aug-09,1936,Olympics,"Jesse Owens wins his fourth gold medal in Berlin, becoming the first American track and field athlete to achieve the feat"
Aug-09,1975,Football,First NFL game in Louisiana Superdome; Houston defeats Saints 13-7
Aug-09,1992,Olympics,"XXV Summer Olympic Games close at Estadi Olmpic de Montjuc Barcelona, Spain"
Aug-09,2008,Olympics,"Michael Phelps wins his 9th Olympic gold medal at the Beijing Games, breaking the all-time record held by Finnish athlete Paavo Nurmi and Carl Lewis for most Olympic gold medals"
Aug-10,1984,Olympics,"Mary Decker and Zola Budd colllide during 3000 m at the Los Angeles Olympics; Decker falls, Budd finishes 7th"
Aug-10,1997,AFL,"Birthday of Brisbane Lions champion Jonathan Brown, who kicked 675 goals and was a three-time All-Australian captain renowned for his fierce competitiveness and big-game performances"
Aug-11,1884,Cricket,First double-century stand in Test cricket; Percy McDonnell (103) and Billy Murdoch (211) for Australia in drawn third Test vs. England in London
Aug-11,1951,Baseball,First televised baseball game in color airs on WCBS in New York City; Boston Braves beat Brooklyn Dodgers 8-1
Aug-11,2024,Olympics,"XXXIII Summer Olympic Games officially close at the Stade de France, Paris"
Aug-12,1928,Olympics,"IX Summer Olympic Games close at Olympisch Stadion in Amsterdam, Netherlands"
Aug-12,1984,Olympics,XXIII Summer Olympic Games close at the Los Angeles Memorial Coliseum
Aug-12,2012,Olympics,"XXX Summer Olympic Games close at Olympic Stadium at Queen Elizabeth Olympic Park, London, England"
Aug-13,1919,Horse Racing,Man o' War's only defeat in a 21-start career; Upset wins the Sanford Memorial Stakes at Saratoga Race Course
Aug-13,2004,Olympics,"XXVII Olympic Games open in Athens, Greece"
Aug-13,2010,Horse Racing,Frankel wins his maiden at Newmarket
Aug-13,2016,Olympics,"Michael Phelps ends his career at the Rio Olympics as part of the winning 4 x 100 m medley relay, his record 23rd gold medal"
Aug-14,1920,Olympics,"VII Summer Olympic Games open in Antwerp, Belgium"
Aug-14,1932,Olympics,X Summer Olympic Games close at the Los Angeles Memorial Coliseum
Aug-14,1948,Olympics,"XIV Olympic Games close at Wembley Stadium, London"
Aug-16,1936,Olympics,"XI Summer Olympic Games close at Olympiastadion in Berlin, Germany"
Aug-16,2001,Soccer,"Highest score in World Cup soccer match (Australia-31, American Samoa-0), Archie Thompson scores a record 13 goals"
Aug-16,2008,Olympics,"Usain Bolt wins the 100m sprint at the Beijing Olympics, running the 100m in a world record 9.96 seconds"
Aug-16,2009,Athletics,Usain Bolt beats Tyson Gay to win the 100 m in a world record time of 9.58 seconds at the World Athletics Championships in Berlin
Aug-17,1929,AFL,Gordon Coventry becomes the first player to kick 100 goals in a VFL season
Aug-17,2025,AFL,Harry Sheezel equals Tom Mitchells VFL/AFL disposals record (54)
Aug-18,1964,Olympics,South Africa is banned from the Olympic Games because of apartheid policies
Aug-18,2018,Horse Racing,"Winx wins her Australasian record 26th consecutive race, the renamed Winx Stakes at Royal Randwick in Sydney, achieving her 19th Group One win"
Aug-20,1938,Cricket,Len Hutton scores an English record of 364 runs in a Test March against Australia at The Oval
Aug-21,1920,AFL,"Vic Cumberland retires as the oldest VFL player ever, retiring at the age of 43 years and 50 days"
Aug-21,2009,Athletics,"Usain Bolt shatters his own world record in the 100m at the World Athletics Championships in Berlin, running 9.58 seconds; he also sets the 200m world record (19.19) at the same championships"
Aug-21,2016,Olympics,"XXXI Summer Olympic Games close at the Estadio Maracana, Rio de Janeiro, Brazil"
Aug-22,2008,Olympics,"Steve Hooker wins the men's pole vault with 5.96 m at the Beijing Olympics, Australia's first gold medal in men's athletics since 1968"
Aug-23,1978,Basketball,"Birthday of Kobe Bryant in Philadelphia; he goes on to win five NBA championships with the LA Lakers, score 33,643 career points, and earn the nickname 'Black Mamba' before his passing in 2020"
Aug-24,1930,Golf,"Bobby Jones completes the Grand Slam, winning all four major championships in a single year (US Amateur, British Amateur, US Open, and The Open Championship), a feat that has never been repeated"
Aug-24,2008,Olympics,XXIX Summer Olympic Games close at the Beijing National Stadium
Aug-25,1804,Horse Racing,"Alicia Thornton becomes the first female jockey in England, riding at Knavesmire in Yorkshire"
Aug-25,1960,Olympics,"XVII Summer Olympic Games open at Stadio Olimpico in Rome, Italy"
Aug-25,1960,Olympics,Cassius Clay (Muhammad Ali) wins Olympic gold in the light-heavyweight boxing
Aug-25,1990,AFL,Michael Tuck equals Kevin Bartlett on 403 VFL/AFL games
Aug-25,2004,Olympics,Gal Fridman becomes Israel's first Olympic gold medalist when he wins the men's Mistral One Design windsurfing event at the Athens Games
Aug-25,2020,Cricket,England's James Anderson becomes the first fast bowler to reach 600 wickets in Test cricket 
Aug-26,1950,Tennis,"Australia wins the Davis Cup, beating USA at Forest Hills (4-1)"
Aug-26,1955,Tennis,First color telecast by NBC of a tennis match (Davis Cup)
Aug-26,1972,Olympics,"XX Summer Olympic Games open in Munich, West Germany"
Aug-27,1908,Cricket,"Donald Bradman born in Cootamundra, NSW"
Aug-27,2000,Cricket,"Sachin Tendulkar becomes the first player to score 10,000 runs in One Day International cricket, reaching the milestone during a match against South Africa"
Aug-27,2004,Olympics,Australia wins its first-ever Olympic men's field hockey gold medal with a 2-1 win after extra time against the Netherlands in Athens
Aug-27,2018,Tennis,"Simona Halep becomes the first top-seeded woman to lose in the first round of the U.S. Open, losing to Kaia Kanepi 6-2, 6-4"
Aug-28,1949,Tennis,"USA wins the Davis Cup, defeating  Australia at Forest Hils (4-1)"
Aug-28,1992,Cricket,Test cricket debut of Muttiah Muralitharan against Australia in Colombo
Aug-28,1995,Cricket,Richie Richardson plays his last Test match
Aug-29,1914,AFL,"University play their last VFL game, also finish the season without a win"
Aug-29,1981,AFL,South Melbourne play their last game as South Melbourne before relocating to Sydney
Aug-29,2004,Olympics,"XXVIII Summer Olympic Games close at the Olympic Stadium in Athens, Greece"
Aug-30,1947,AFL,Fred Fanning kicks an AFL record 18 goals in a game
Aug-30,1984,Soccer,"Birthday of Spanish midfielder Andrés Iniesta, the hero of the 2010 World Cup final with his extra-time winning goal, regarded as one of the greatest midfielders of all time"
Aug-31,1931,Soccer,"PSV forms in Eindhoven, Netherlands"
Aug-31,1959,Tennis,"Australia wins the Davis Cup, beating USA in New York (3-2)"
Aug-31,1970,Tennis,"USA wins the Davis Cup, beating Germany in Cleveland (5-0)"
Sep-01,1947,Tennis,"USA wins the Davis Cup,  beating Australia in Forest Hills(4-1)"
Sep-02,1972,Olympics,"For the first time since the advent of the Modern Olympics in 1896, a non-American wins the pole vault gold medal; East German Wolfgang Nordwig clears 5.5m"
Sep-02,1989,AFL,"Trevor Barker retires from football, retiring with the unwanted VFL record of 230 games withoit playing in a final"
Sep-03,1995,Football,Carolina Panthers lose their debut NFL game in overtime 23-20 to the Atlanta Falcons
Sep-03,1995,Football,Jacksonville Jaguars fall to the Houston Oilers 10-3 in yhe Jaguars first game
Sep-04,1920,Horse Racing,"Man o' War wins the Lawrence Realization Stakes at Belmont Park by 100 lengths, the largest winning margin in modern thoroughbred racing history"
Sep-04,2002,Basketball,"Argentina pulls off one of the biggest upsets in basketball history, beating the US 87-80 in the second round of the World Championships; first US loss in 59 games since sending NBA players to international competition in 1992"
Sep-04,2013,Cricket,"Sachin Tendulkar announces his retirement from all forms of cricket after a record 24-year international career, becoming the sport's all-time leading run-scorer"
Sep-05,1922,Tennis,"USA wins the Davis Cup, beating Australasia in New York (4-1)"
Sep-05,1948,Tennis,"USA win the Davis Cup, beating Australia in Forest Hills (5-0)"
Sep-05,1969,Soccer,"Birthday of Dutch defender Clarence Seedorf, the only player to win the UEFA Champions League with three different clubs: Ajax (1995), Real Madrid (1998) and AC Milan (2003, 2007)"
Sep-05,1973,Cricket,West Indies lose by one wicket to England in the first one-day cricket international
Sep-05,2020,Horse Racing,Authentic wins Kentucky Derby to give trainer Bob Baffert his record-tying 6th Derby win
Sep-08,1998,Baseball,"Mark McGwire hits his 62nd home run of the season, breaking Roger Maris's single-season record that had stood for 37 years, in a game against the Chicago Cubs at Busch Stadium"
Sep-08,2022,Surfing,"Stephanie Gilmore wins her eighth world surfing title, becoming the most successful women's champion in history"
Sep-09,1971,Ice Hockey,Gordie Howe retires for the first time after 25 seasons with the Detroit Red Wings
Sep-09,1979,Car Racing,"South African wins the F1 Cxhampionship, becoming the first South African champion"
